,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,4366137677,285603,578,318483,26,28,104
1,4366137677,268897,576,317341,28,26,104
0,4366137678,138145,319,141828,22,14,82
1,4366137678,144646,323,145532,14,22,76
0,4366137689,192435,381,190238,30,24,90
1,4366137689,173031,354,165728,24,30,86
0,4366137701,187624,436,211943,10,22,86
1,4366137701,224475,466,240326,22,10,96
0,4366137704,185919,411,199389,8,28,88
1,4366137704,208775,419,212036,28,8,94
0,4366137708,327257,579,322583,62,42,108
1,4366137708,305264,558,301899,42,62,104
0,4366137713,166758,376,183013,20,26,90
1,4366137713,174999,388,191467,26,20,92
0,4366137714,252562,515,270667,38,14,104
1,4366137714,212720,476,239360,14,38,90
0,4366137718,106420,253,107583,10,10,74
1,4366137718,109613,259,111434,10,10,76
0,4366137719,320833,627,350435,28,42,108
1,4366137719,331606,632,359691,42,28,110
0,4366137730,150386,343,162101,20,10,86
1,4366137730,128761,323,145190,10,20,78
0,4366137732,79020,176,67658,16,12,62
1,4366137732,78236,178,69505,12,16,66
0,4366137741,150021,319,146010,20,20,78
1,4366137741,136555,319,145749,20,20,84
0,4366137742,163666,374,180077,22,34,84
1,4366137742,185411,375,177486,34,22,90
0,4366137748,207883,415,205202,22,16,90
1,4366137748,190945,402,188943,16,22,86
0,4366137752,185311,374,178848,22,8,88
1,4366137752,151081,358,164961,8,22,82
0,4366137754,101467,250,105284,8,6,74
1,4366137754,95537,247,104914,6,8,72
0,4366137758,195438,460,231004,24,34,96
1,4366137758,228243,470,237777,34,24,96
0,4366137764,270609,527,288427,28,22,98
1,4366137764,241270,499,259014,22,28,98
0,4366137771,241990,461,235775,24,30,96
1,4366137771,243772,468,242841,30,24,100
0,4366137775,133475,286,127810,18,30,78
1,4366137775,145449,295,131721,30,18,78
0,4366137781,146590,313,141322,14,32,78
1,4366137781,167940,342,164167,32,14,88
0,4366137785,212861,469,238342,18,28,94
1,4366137785,234031,488,255108,28,18,102
0,4366137789,346411,646,372063,50,40,110
1,4366137789,316784,624,345764,40,50,108
0,4366137791,69360,171,60558,8,14,60
1,4366137791,72058,183,70660,14,8,66
0,4366137794,87161,215,86510,16,4,70
1,4366137794,79412,205,78795,4,16,68
0,4366137797,43669,94,29139,18,0,50
1,4366137797,27822,61,10862,0,18,26
0,4366137806,42448,108,32133,4,22,50
1,4366137806,53465,119,39911,22,4,56
0,4366137809,158982,363,169380,14,30,82
1,4366137809,179863,380,184568,30,14,92
0,4366137810,129357,278,121343,24,14,80
1,4366137810,126266,273,117368,14,24,74
0,4366137811,276592,577,299851,20,38,96
1,4366137811,335004,630,351831,38,20,102
0,4366137813,164702,366,170624,16,18,82
1,4366137813,171020,375,180474,18,16,88
0,4366137815,84283,211,85268,10,14,68
1,4366137815,89582,215,87324,14,10,72
0,4366137820,147774,357,166101,4,14,84
1,4366137820,172792,382,184873,14,4,90
0,4366137824,157150,373,175491,10,20,86
1,4366137824,184586,380,183482,20,10,90
0,4366137832,76291,202,77557,4,14,64
1,4366137832,92429,216,89723,14,4,70
0,4366137833,397802,776,455803,32,40,116
1,4366137833,441732,800,478399,40,32,118
0,4366137841,217669,467,241246,18,14,96
1,4366137841,207768,472,243881,14,18,96
0,4366137846,211670,445,222256,24,36,92
1,4366137846,236878,468,240664,36,24,94
0,4366137847,74101,194,72726,4,26,64
1,4366137847,98777,209,82869,26,4,72
0,4366137851,410212,757,449394,30,24,114
1,4366137851,406058,738,434580,24,30,114
0,4366137854,206526,411,199971,28,32,86
1,4366137854,208379,423,213067,32,28,94
0,4366137855,76101,200,75556,0,12,62
1,4366137855,88470,210,85829,12,0,70
0,4366137859,256261,487,251619,38,38,96
1,4366137859,263138,507,269633,38,38,98
0,4366137860,100876,249,103230,4,22,72
1,4366137860,113480,251,108891,22,4,76
0,4366137861,163390,324,151040,20,12,82
1,4366137861,136505,322,147349,12,20,80
0,4366137863,100801,251,107523,10,16,74
1,4366137863,105035,256,110365,16,10,78
0,4366137867,177932,373,176322,28,10,88
1,4366137867,163949,368,173252,10,28,84
0,4366137870,334206,589,311410,44,34,100
1,4366137870,307057,586,321001,34,44,100
0,4366137871,408092,743,439361,36,42,116
1,4366137871,387375,736,435048,42,36,116
0,4366137876,145323,312,139910,22,24,82
1,4366137876,158211,337,160016,24,22,86
0,4366137877,80680,199,76860,8,16,68
1,4366137877,95021,210,84950,16,8,68
0,4366137878,220205,452,226079,20,34,88
1,4366137878,232190,468,240362,34,20,96
0,4366137879,86093,215,86695,6,8,70
1,4366137879,86332,206,83456,8,6,70
0,4366137880,227452,504,261202,14,16,96
1,4366137880,237297,486,247600,16,14,92
0,4366137881,98000,252,107199,10,16,76
1,4366137881,105902,258,111198,16,10,80
0,4366137894,91406,217,86499,18,18,70
1,4366137894,93610,220,91225,18,18,72
0,4366137896,162914,369,174307,16,18,88
1,4366137896,180050,376,178307,18,16,88
0,4366137898,131220,281,122067,18,18,76
1,4366137898,133285,281,123489,18,18,76
0,4366137902,60809,146,51818,8,8,60
1,4366137902,57373,143,50219,8,8,58
0,4366137911,293745,563,298684,38,24,104
1,4366137911,270835,564,299838,24,38,98
0,4366137912,175780,419,205571,18,10,92
1,4366137912,164953,404,198955,10,18,86
0,4366137923,306972,613,334002,22,32,104
1,4366137923,311384,622,346753,32,22,108
0,4366137925,91612,223,93413,12,2,66
1,4366137925,95912,241,100569,2,12,70
0,4366137926,157212,339,160291,22,8,86
1,4366137926,145501,320,143608,8,22,78
0,4366137942,327460,679,389005,26,24,110
1,4366137942,363895,683,391032,24,26,110
0,4366137943,318789,628,352121,34,32,110
1,4366137943,308926,615,337984,32,34,110
0,4366137944,154758,348,164184,26,20,90
1,4366137944,147515,334,157030,20,26,86
0,4366137948,202779,419,208322,36,50,92
1,4366137948,235629,425,216984,50,36,94
0,4366137960,358635,652,364106,40,24,106
1,4366137960,335801,647,357260,24,40,106
0,4366137968,80530,205,78961,6,16,68
1,4366137968,89502,212,84895,16,6,68
0,4366137969,50226,116,38682,12,2,54
1,4366137969,42586,111,34566,2,12,52
0,4366137970,220304,451,223516,20,26,96
1,4366137970,231709,476,246631,26,20,100
0,4366137971,345532,551,294210,60,42,98
1,4366137971,312044,544,290767,42,60,100
0,4366137981,268578,568,311160,16,34,104
1,4366137981,288444,566,302966,34,16,106
0,4366137987,139733,329,152367,14,20,82
1,4366137987,138194,339,156670,20,14,88
0,4366137993,140001,307,132502,18,18,76
1,4366137993,146848,314,145442,18,18,78
0,4366138005,74263,199,76740,10,20,66
1,4366138005,96618,210,85013,20,10,70
0,4366138007,254567,509,265743,36,30,100
1,4366138007,243122,499,259682,30,36,96
0,4366138013,233695,495,256686,24,18,98
1,4366138013,255869,524,276139,18,24,98
0,4366138025,64726,170,63166,2,10,60
1,4366138025,76369,186,71375,10,2,68
0,4366138035,442792,800,469191,28,80,114
1,4366138035,591184,912,589154,80,28,128
0,4366138042,52831,139,47985,2,8,54
1,4366138042,58223,144,49841,8,2,54
0,4366138049,61491,166,61212,2,12,60
1,4366138049,79272,180,70607,12,2,68
0,4366138050,308396,617,337839,20,26,102
1,4366138050,306789,626,352328,26,20,108
0,4366138053,89655,210,83114,10,6,72
1,4366138053,80027,200,74749,6,10,62
0,4366138068,129489,299,135088,20,8,80
1,4366138068,114411,280,119700,8,20,74
0,4366138075,225947,457,233720,36,26,98
1,4366138075,243319,460,229292,26,36,92
0,4366138088,94711,199,80801,20,10,68
1,4366138088,78911,196,77078,10,20,66
0,4366138089,91608,213,86269,18,6,68
1,4366138089,80583,200,77028,6,18,66
0,4366138094,170166,376,180516,20,30,90
1,4366138094,184315,364,172172,30,20,84
0,4366138099,51525,138,45597,0,10,58
1,4366138099,59851,144,50774,10,0,58
0,4366138112,141292,318,144256,10,20,78
1,4366138112,152880,325,149133,20,10,84
0,4366138116,95163,215,87432,14,6,74
1,4366138116,83207,200,77373,6,14,66
0,4366138117,97020,229,90022,10,24,66
1,4366138117,122178,242,100928,24,10,78
0,4366138128,359071,695,408503,48,14,114
1,4366138128,291644,644,345760,14,48,100
0,4366138130,261283,562,297604,18,36,100
1,4366138130,317886,600,341669,36,18,110
0,4366138131,58462,133,44554,12,12,52
1,4366138131,63534,148,54178,12,12,58
0,4366138132,140266,305,141123,26,12,82
1,4366138132,126618,299,134172,12,26,82
0,4366138139,426513,741,433955,44,54,118
1,4366138139,419916,733,434581,54,44,116
0,4366138140,76636,197,75202,2,16,64
1,4366138140,92654,209,85898,16,2,72
0,4366138141,148519,337,159374,26,22,86
1,4366138141,152995,333,157674,22,26,84
0,4366138143,106088,247,106663,16,10,78
1,4366138143,98437,244,102517,10,16,72
0,4366138144,223061,510,262408,18,24,96
1,4366138144,263109,527,279516,24,18,100
0,4366138149,86247,217,86717,12,12,70
1,4366138149,93151,212,85434,12,12,68
0,4366138151,158492,327,152076,26,24,84
1,4366138151,152974,332,152760,24,26,84
0,4366138162,85539,214,84507,10,10,70
1,4366138162,88679,213,85127,10,10,68
0,4366138170,338832,631,355993,42,18,112
1,4366138170,277891,599,326764,18,42,106
0,4366138172,94602,215,86818,12,8,70
1,4366138172,87314,209,83326,8,12,64
0,4366138181,58663,142,49282,8,8,56
1,4366138181,55017,137,46005,8,8,58
0,4366138182,236855,452,224971,32,24,92
1,4366138182,202500,452,227635,24,32,90
0,4366138185,171885,381,184378,24,18,88
1,4366138185,163866,358,170164,18,24,84
0,4366138192,204755,437,222377,30,2,96
1,4366138192,155598,384,174885,2,30,82
0,4366138193,132074,285,124780,14,20,76
1,4366138193,135375,289,126491,20,14,80
0,4366138196,128044,286,124494,20,14,78
1,4366138196,115437,283,123602,14,20,82
0,4366138199,59653,149,54993,6,2,62
1,4366138199,55953,147,51551,2,6,60
0,4366138203,124507,284,123886,18,10,78
1,4366138203,117319,284,124186,10,18,74
0,4366138204,51729,116,37967,20,12,52
1,4366138204,45859,106,31569,12,20,44
0,4366138211,109148,260,115346,16,12,76
1,4366138211,109299,249,106122,12,16,76
0,4366138219,118502,295,128329,12,6,82
1,4366138219,118470,284,123406,6,12,76
0,4366138228,177640,413,201168,12,10,88
1,4366138228,167023,406,198557,10,12,88
0,4366138234,140251,300,134996,20,14,84
1,4366138234,119822,289,128838,14,20,78
0,4366138237,189051,415,201829,26,20,94
1,4366138237,216158,437,221183,20,26,96
0,4366138239,64141,159,56553,6,20,60
1,4366138239,83604,172,67043,20,6,66
0,4366138244,166196,384,187607,14,20,88
1,4366138244,164068,382,186343,20,14,92
0,4366138245,277697,551,291865,28,32,100
1,4366138245,293277,569,309468,32,28,104
0,4366138249,63936,148,54340,14,0,60
1,4366138249,49615,139,45978,0,14,56
0,4366138253,128593,281,122319,14,14,78
1,4366138253,123623,282,123364,14,14,76
0,4366138258,208743,430,212312,18,36,88
1,4366138258,229591,461,234391,36,18,94
0,4366138262,105693,250,105948,10,8,74
1,4366138262,100921,243,99698,8,10,76
0,4366138267,228612,516,272545,24,16,104
1,4366138267,232299,529,277630,16,24,100
0,4366138282,219273,468,235205,20,24,96
1,4366138282,204417,463,236842,24,20,96
0,4366138292,176821,352,161586,24,36,84
1,4366138292,201352,388,196465,36,24,90
0,4366138297,109733,252,105242,12,8,76
1,4366138297,99992,248,101723,8,12,74
0,4366138303,64086,156,55657,6,18,54
1,4366138303,73426,170,62371,18,6,62
0,4366138306,295871,549,288515,34,42,98
1,4366138306,311839,560,303289,42,34,102
0,4366138308,192027,418,204113,18,24,86
1,4366138308,185539,425,210444,24,18,90
0,4366138319,178096,379,180103,18,26,86
1,4366138319,175968,371,178495,26,18,88
0,4366138320,140834,297,133249,30,22,78
1,4366138320,129772,288,128847,22,30,76
0,4366138321,111598,254,108053,12,4,76
1,4366138321,89910,238,100278,4,12,70
0,4366138330,87834,206,82215,10,22,70
1,4366138330,101640,218,90144,22,10,70
0,4366138331,141385,309,136838,20,24,78
1,4366138331,162293,326,148875,24,20,80
0,4366138332,107165,254,110051,10,20,74
1,4366138332,108986,258,109631,20,10,80
0,4366138333,256013,514,268504,30,30,100
1,4366138333,259686,519,280200,30,30,102
0,4366138338,93425,213,85113,20,8,72
1,4366138338,81035,202,77461,8,20,64
0,4366138342,91012,235,98164,4,22,74
1,4366138342,116478,247,106195,22,4,76
0,4366138344,451430,856,526872,32,36,122
1,4366138344,454737,852,528661,36,32,124
0,4366138350,126247,289,127577,12,20,80
1,4366138350,137055,300,137595,20,12,78
0,4366138351,155597,334,153713,14,22,84
1,4366138351,154562,330,151289,22,14,84
0,4366138352,88056,214,85230,12,20,66
1,4366138352,91341,215,87276,20,12,70
0,4366138355,160548,324,148928,32,18,84
1,4366138355,151431,307,134406,18,32,74
0,4366138358,82274,208,84063,8,14,68
1,4366138358,84096,210,83633,14,8,66
0,4366138362,266150,566,312138,28,12,106
1,4366138362,245279,548,285459,12,28,96
0,4366138363,108174,240,99208,16,32,72
1,4366138363,122277,248,107188,32,16,76
0,4366138367,5000,10,0,0,0,8
1,4366138367,5000,10,0,0,0,2
0,4366138377,172182,358,169051,32,16,84
1,4366138377,165272,356,168337,16,32,84
0,4366138384,83333,205,82143,6,18,68
1,4366138384,92675,209,84873,18,6,70
0,4366138394,48355,113,36021,8,10,50
1,4366138394,47383,120,40278,10,8,54
0,4366138400,202954,422,207566,22,20,88
1,4366138400,184705,412,202742,20,22,86
0,4366138405,180591,410,195232,16,22,88
1,4366138405,202522,410,202287,22,16,88
0,4366138410,367284,701,412529,44,54,120
1,4366138410,390870,689,400213,54,44,114
0,4366138414,147879,287,127886,22,30,76
1,4366138414,163624,334,154272,30,22,84
0,4366138436,130056,305,132582,12,20,74
1,4366138436,150113,321,144621,20,12,80
0,4366138437,124724,291,131863,14,12,80
1,4366138437,110611,262,109945,12,14,70
0,4366138440,54240,144,50012,4,14,58
1,4366138440,63558,145,51434,14,4,60
0,4366138441,81438,203,76886,8,16,66
1,4366138441,90463,216,88737,16,8,72
0,4366138445,122819,287,125339,16,10,78
1,4366138445,118456,278,117759,10,16,74
0,4366138451,144455,303,129872,16,22,72
1,4366138451,142368,309,136527,22,16,76
0,4366138452,109894,245,102341,12,14,72
1,4366138452,107788,246,103489,14,12,76
0,4366138461,168722,365,171369,14,22,88
1,4366138461,178115,358,169484,22,14,86
0,4366138465,268715,510,268537,40,32,102
1,4366138465,260812,500,262087,32,40,100
0,4366138466,145689,294,133886,34,10,82
1,4366138466,115292,269,112627,10,34,70
0,4366138468,346888,722,421854,16,18,112
1,4366138468,347753,714,409775,18,16,112
0,4366138475,212968,413,201097,34,30,90
1,4366138475,196871,406,197849,30,34,88
0,4366138476,231844,502,258421,12,28,96
1,4366138476,264262,528,278079,28,12,100
0,4366138477,68881,142,48232,22,10,56
1,4366138477,55032,131,42074,10,22,48
0,4366138480,129975,250,108096,22,16,74
1,4366138480,114688,228,91015,16,22,70
0,4366138481,111720,250,105480,12,8,74
1,4366138481,95604,234,94886,8,12,64
0,4366138490,394767,709,404123,44,46,112
1,4366138490,402404,741,434721,46,44,116
0,4366138495,62417,148,49874,6,20,60
1,4366138495,82835,167,60320,20,6,62
0,4366138498,239597,475,237993,24,38,94
1,4366138498,281061,525,283054,38,24,104
0,4366138503,201803,398,192188,20,16,90
1,4366138503,184133,392,188585,16,20,86
0,4366138507,171204,382,188517,16,16,84
1,4366138507,157613,368,174639,16,16,90
0,4366138513,119905,291,127712,8,20,82
1,4366138513,132002,292,131664,20,8,80
0,4366138517,178770,368,175233,22,40,86
1,4366138517,203492,394,196271,40,22,94
0,4366138518,70020,179,67391,4,0,64
1,4366138518,58173,159,56005,0,4,58
0,4366138525,237468,470,243935,32,24,96
1,4366138525,207896,437,219447,24,32,92
0,4366138526,238507,499,254192,22,14,94
1,4366138526,238884,509,267564,14,22,96
0,4366138529,279357,557,294672,22,32,98
1,4366138529,263464,567,306472,32,22,104
0,4366138539,120529,280,124197,18,24,80
1,4366138539,134100,292,128592,24,18,80
0,4366138541,159290,357,166138,16,26,80
1,4366138541,182607,368,172445,26,16,82
0,4366138544,109184,253,108053,10,10,74
1,4366138544,105791,254,107906,10,10,78
0,4366138556,94126,210,83952,16,12,70
1,4366138556,85143,202,80278,12,16,68
0,4366138562,325946,637,350840,28,38,106
1,4366138562,360746,673,386374,38,28,116
0,4366138563,85014,178,70000,24,0,70
1,4366138563,64966,166,60526,0,24,56
0,4366138566,106925,259,105705,6,30,68
1,4366138566,140794,290,128356,30,6,80
0,4366138570,107826,247,102877,10,6,72
1,4366138570,93262,241,97659,6,10,72
0,4366138571,310269,615,340029,36,38,108
1,4366138571,335286,615,346121,38,36,108
0,4366138574,334899,609,333967,32,32,106
1,4366138574,300523,625,348508,32,32,108
0,4366138585,84915,177,68630,20,10,64
1,4366138585,67759,168,63258,10,20,64
0,4366138586,177043,425,212467,16,12,94
1,4366138586,194213,417,201826,12,16,92
0,4366138587,47468,120,40293,8,0,54
1,4366138587,40854,112,35303,0,8,50
0,4366138592,273795,572,313184,34,24,104
1,4366138592,267836,565,304970,24,34,100
0,4366138596,151940,365,172446,10,20,82
1,4366138596,168038,369,180750,20,10,92
0,4366138600,185207,404,196054,14,20,90
1,4366138600,199833,421,213741,20,14,90
0,4366138602,146869,320,145816,18,24,82
1,4366138602,152123,336,157748,24,18,86
0,4366138604,80922,219,89232,4,12,68
1,4366138604,90936,227,97138,12,4,76
0,4366138614,159433,342,161024,26,10,86
1,4366138614,135998,321,145321,10,26,82
0,4366138615,116553,253,109563,26,14,76
1,4366138615,109429,247,104328,14,26,74
0,4366138616,167612,382,183170,16,12,88
1,4366138616,158188,372,175633,12,16,88
0,4366138621,136511,320,146120,16,18,78
1,4366138621,137615,329,152096,18,16,86
0,4366138634,180751,409,197224,18,10,90
1,4366138634,175764,397,191699,10,18,84
0,4366138640,173957,369,179554,26,22,90
1,4366138640,169907,369,175828,22,26,88
0,4366138645,199456,408,197853,24,16,90
1,4366138645,186013,404,195239,16,24,90
0,4366138646,210084,430,218973,26,22,96
1,4366138646,193145,423,211084,22,26,94
0,4366138648,221476,472,243518,22,22,96
1,4366138648,223372,488,257289,22,22,100
0,4366138650,142331,341,147672,12,28,82
1,4366138650,186507,385,189574,28,12,90
0,4366138655,141280,320,140662,18,34,78
1,4366138655,163650,335,154495,34,18,90
0,4366138663,75987,176,67153,12,12,66
1,4366138663,71036,173,65184,12,12,64
0,4366138688,46870,116,37845,8,0,54
1,4366138688,40954,111,35334,0,8,48
0,4366138689,104088,253,106983,16,20,76
1,4366138689,117636,253,107192,20,16,76
0,4366138690,215072,448,222318,16,22,90
1,4366138690,229720,454,228471,22,16,92
0,4366138691,182365,402,196117,18,28,90
1,4366138691,215009,422,210104,28,18,94
0,4366138697,66059,176,65292,8,12,64
1,4366138697,74599,181,69503,12,8,66
0,4366138703,168539,354,160401,12,26,78
1,4366138703,193559,375,182872,26,12,90
0,4366138708,108814,255,109404,18,8,74
1,4366138708,97345,247,101934,8,18,72
0,4366138712,212045,428,216315,30,22,96
1,4366138712,210463,426,212591,22,30,92
0,4366138714,339659,665,370587,32,36,108
1,4366138714,339977,668,380257,36,32,110
0,4366138715,59154,146,50911,14,8,60
1,4366138715,59818,150,53313,8,14,58
0,4366138716,289127,525,281105,34,24,102
1,4366138716,230919,495,249557,24,34,98
0,4366138720,77719,198,76020,10,12,62
1,4366138720,92057,215,85988,12,10,72
0,4366138724,292890,590,326552,20,24,106
1,4366138724,280035,586,323855,24,20,108
0,4366138729,193590,396,189814,24,30,86
1,4366138729,209654,420,213086,30,24,92
0,4366138746,127073,280,124677,26,30,80
1,4366138746,146910,294,134210,30,26,80
0,4366138748,40009,112,35941,0,4,50
1,4366138748,45201,116,38706,4,0,54
0,4366138749,117691,287,129195,8,8,78
1,4366138749,114582,281,119346,8,8,76
0,4366138755,152016,360,169406,10,20,84
1,4366138755,163124,358,165594,20,10,84
0,4366138763,463102,893,551104,34,42,120
1,4366138763,533606,922,580164,42,34,124
0,4366138767,118759,249,105293,26,18,74
1,4366138767,103269,244,100745,18,26,76
0,4366138770,111356,250,104551,24,8,74
1,4366138770,101506,241,98424,8,24,68
0,4366138772,40782,109,35316,0,10,48
1,4366138772,49129,120,39998,10,0,54
0,4366138773,190114,409,198556,14,34,90
1,4366138773,215103,439,224446,34,14,96
0,4366138783,393354,700,399904,30,34,106
1,4366138783,374142,701,397248,34,30,108
0,4366138784,291059,571,319283,34,18,102
1,4366138784,261776,571,311472,18,34,104
0,4366138799,111635,258,109017,16,8,76
1,4366138799,104971,244,100086,8,16,70
0,4366138802,265399,508,261708,30,32,96
1,4366138802,265983,525,284179,32,30,100
0,4366138808,168414,357,164466,24,30,84
1,4366138808,191465,383,186377,30,24,90
0,4366138809,181353,424,209050,12,16,90
1,4366138809,186793,427,217018,16,12,96
0,4366138830,224881,455,228344,24,20,94
1,4366138830,217618,464,236684,20,24,94
0,4366138834,38760,91,27720,8,0,48
1,4366138834,27977,69,16914,0,8,30
0,4366138844,89346,200,77616,14,14,64
1,4366138844,92018,210,83056,14,14,68
0,4366138845,172779,373,179027,18,16,90
1,4366138845,171709,369,179041,16,18,86
0,4366138851,220833,466,236851,18,18,96
1,4366138851,215890,466,239362,18,18,94
0,4366138856,181878,386,188034,24,20,88
1,4366138856,177456,376,180738,20,24,90
0,4366138857,198783,404,195260,30,18,92
1,4366138857,176700,406,196349,18,30,90
0,4366138865,198990,440,215398,12,14,86
1,4366138865,213892,458,234377,14,12,92
0,4366138867,188439,407,199148,8,22,86
1,4366138867,198011,402,196546,22,8,86
0,4366138874,57915,135,46976,10,12,58
1,4366138874,61737,145,51693,12,10,60
0,4366138875,175317,376,183876,32,24,94
1,4366138875,184393,371,180238,24,32,86
0,4366138883,231979,456,231595,32,14,94
1,4366138883,198912,450,224555,14,32,90
0,4366138884,257759,495,254376,32,24,96
1,4366138884,250435,487,244168,24,32,92
0,4366138890,122626,263,113629,12,14,74
1,4366138890,117630,276,118965,14,12,76
0,4366138909,178918,410,202042,18,32,86
1,4366138909,205065,427,216148,32,18,94
0,4366138911,84884,215,88835,10,6,70
1,4366138911,80810,215,87047,6,10,68
0,4366138918,182060,388,192685,24,18,90
1,4366138918,166272,380,184673,18,24,90
0,4366138928,167900,362,167308,20,34,82
1,4366138928,189887,385,191857,34,20,92
0,4366138931,42846,117,38611,2,12,54
1,4366138931,49251,122,42106,12,2,58
0,4366138933,209742,473,245091,26,10,100
1,4366138933,204609,447,221754,10,26,90
0,4366138934,403065,801,476850,28,20,114
1,4366138934,402330,776,462038,20,28,116
0,4366138940,128548,289,125930,16,14,76
1,4366138940,123211,284,124329,14,16,78
0,4366138945,178698,364,173514,24,18,86
1,4366138945,161933,367,174734,18,24,86
0,4366138949,87264,204,80682,12,6,68
1,4366138949,81948,202,76419,6,12,62
0,4366138950,318949,586,333385,40,30,106
1,4366138950,257476,541,286290,30,40,100
0,4366138966,268544,557,298015,18,32,102
1,4366138966,304242,578,320258,32,18,104
0,4366138967,182336,402,195365,16,16,86
1,4366138967,192055,411,199406,16,16,86
0,4366138972,50823,141,47425,0,4,56
1,4366138972,55983,148,51593,4,0,60
0,4366138973,249265,553,297759,12,12,102
1,4366138973,241697,555,295164,12,12,102
0,4366138974,360204,715,407605,24,36,114
1,4366138974,382362,751,448734,36,24,116
0,4366138975,137938,304,141304,26,12,88
1,4366138975,119959,291,129479,12,26,78
0,4366138976,242427,517,272759,18,16,100
1,4366138976,241600,523,273317,16,18,96
0,4366138979,233694,502,257691,12,18,94
1,4366138979,264735,529,283560,18,12,100
0,4366138981,141323,340,157929,16,12,84
1,4366138981,149636,344,162767,12,16,84
0,4366138986,64605,165,59335,4,4,60
1,4366138986,68750,183,70380,4,4,68
0,4366138991,96448,243,101784,8,16,72
1,4366138991,97464,246,103786,16,8,74
0,4366138992,241874,523,275672,24,26,100
1,4366138992,271028,542,295880,26,24,102
0,4366138995,241202,466,241547,40,28,96
1,4366138995,217494,466,238294,28,40,102
0,4366139006,108899,292,127784,10,6,76
1,4366139006,116647,282,123549,6,10,76
0,4366139011,164904,343,164149,34,16,82
1,4366139011,131494,312,138015,16,34,78
0,4366139023,209194,449,223846,20,30,90
1,4366139023,221994,456,230996,30,20,94
0,4366139024,196006,408,201481,24,24,90
1,4366139024,203155,417,207460,24,24,92
0,4366139025,162480,379,184003,24,8,90
1,4366139025,154428,375,180013,8,24,84
0,4366139033,155629,337,158099,22,12,86
1,4366139033,132210,327,150549,12,22,82
0,4366139034,156399,367,174737,6,14,84
1,4366139034,159516,375,181558,14,6,88
0,4366139042,162553,349,161219,22,34,80
1,4366139042,200344,375,179627,34,22,88
0,4366139045,127024,264,115618,26,8,78
1,4366139045,91867,229,91672,8,26,66
0,4366139056,214231,463,234753,22,22,94
1,4366139056,217364,463,233957,22,22,94
0,4366139069,118981,288,126963,14,14,84
1,4366139069,125405,296,133853,14,14,82
0,4366139074,46235,108,34973,6,12,48
1,4366139074,46490,117,37722,12,6,54
0,4366139090,183276,381,182232,16,16,84
1,4366139090,171912,375,181649,16,16,88
0,4366139091,165435,375,180183,22,4,88
1,4366139091,152210,368,171378,4,22,82
0,4366139096,154422,355,163437,18,32,80
1,4366139096,168501,373,181425,32,18,84
0,4366139097,119015,253,108332,24,12,76
1,4366139097,96247,234,95714,12,24,70
0,4366139098,237428,500,256657,26,26,94
1,4366139098,237299,503,261401,26,26,98
0,4366139103,205882,432,222423,32,28,100
1,4366139103,198029,420,205794,28,32,92
0,4366139108,87239,217,90123,16,12,72
1,4366139108,94971,211,84651,12,16,66
0,4366139119,120991,293,130065,6,10,78
1,4366139119,116549,297,134886,10,6,82
0,4366139128,167937,372,177502,24,24,90
1,4366139128,172853,383,182556,24,24,90
0,4366139133,107005,240,100241,14,8,72
1,4366139133,95804,239,96390,8,14,72
0,4366139134,93317,235,93284,8,22,68
1,4366139134,114933,254,109932,22,8,76
0,4366139138,58978,145,51960,8,4,56
1,4366139138,54784,141,48778,4,8,56
0,4366139142,75323,200,76466,4,20,66
1,4366139142,101221,222,93345,20,4,72
0,4366139146,302633,593,316182,18,28,98
1,4366139146,302180,610,334391,28,18,104
0,4366139151,75396,174,65483,16,6,64
1,4366139151,64072,164,59157,6,16,60
0,4366139152,217264,475,247321,30,20,98
1,4366139152,213087,457,231637,20,30,94
0,4366139164,223066,473,244937,14,12,94
1,4366139164,204264,449,221948,12,14,90
0,4366139172,209542,459,229950,14,18,96
1,4366139172,218620,478,249879,18,14,100
0,4366139193,233303,507,260193,22,20,94
1,4366139193,240700,511,273283,20,22,98
0,4366139196,160047,376,180982,16,16,90
1,4366139196,165860,363,175265,16,16,84
0,4366139198,38724,90,26887,10,4,48
1,4366139198,35017,88,26483,4,10,46
0,4366139199,145507,320,142560,24,14,82
1,4366139199,147426,336,156142,14,24,84
0,4366139201,207829,439,225678,20,12,96
1,4366139201,176609,404,198522,12,20,94
0,4366139202,178790,369,176796,28,16,94
1,4366139202,161385,375,182071,16,28,88
0,4366139213,195652,417,205046,22,12,94
1,4366139213,177845,403,195759,12,22,92
0,4366139214,172068,414,203877,10,16,92
1,4366139214,200587,428,215322,16,10,96
0,4366139218,240405,483,249596,26,28,100
1,4366139218,219426,477,244777,28,26,96
0,4366139226,135084,299,134877,22,6,84
1,4366139226,115651,288,126517,6,22,76
0,4366139227,141633,300,139112,28,10,80
1,4366139227,110598,276,117516,10,28,74
0,4366139228,126145,269,112267,16,16,70
1,4366139228,137026,283,122982,16,16,80
0,4366139231,229458,468,242855,26,14,98
1,4366139231,208584,453,225444,14,26,92
0,4366139233,303857,640,368148,30,20,112
1,4366139233,318006,623,346315,20,30,106
0,4366139235,265553,569,316212,26,16,106
1,4366139235,260800,554,294014,16,26,100
0,4366139241,156818,321,141101,24,34,80
1,4366139241,178034,339,158498,34,24,88
0,4366139244,114010,254,110383,18,16,76
